[]
[4, 2412]
         1439833 function calls (1436449 primitive calls) in 5.503 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       41    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       81    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       27    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       23    0.000    0.000    0.001    0.000 abc.py:178(__instancecheck__)
     27/4    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 action.py:1(<module>)
     1925    0.007    0.000    0.010    0.000 action.py:28(__init__)
        1    0.000    0.000    0.000    0.000 action.py:4(Action)
     1925    0.002    0.000    0.002    0.000 action.py:52(SetParentTrigger)
        2    0.000    0.000    0.000    0.000 action.py:68(WritePayload)
        1    0.000    0.000    0.000    0.000 ast.py:221(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:258(NodeTransformer)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 basicstru.py:1(<module>)
       79    0.002    0.000    0.483    0.006 basicstru.py:12(EUDBranch)
       66    0.001    0.000    0.782    0.012 basicstru.py:32(EUDJumpIf)
       13    0.000    0.000    0.159    0.012 basicstru.py:38(EUDJumpIfNot)
        8    0.000    0.000    0.025    0.003 basicstru.py:4(DoActions)
       15    0.000    0.000    0.000    0.000 basicstru.py:8(EUDJump)
        1    0.000    0.000    0.000    0.000 binio.py:1(<module>)
       17    0.000    0.000    0.000    0.000 binio.py:26(i2b4)
        1    0.000    0.000    0.000    0.000 bitwise.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bitwise.py:1(f_bitxor)
        1    0.000    0.000    0.000    0.000 blockstru.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blockstru.py:1(BlockStruManager)
       20    0.000    0.000    0.000    0.000 blockstru.py:14(SetCurrentBlockStruManager)
       12    0.000    0.000    0.000    0.000 blockstru.py:21(EUDCreateBlock)
       10    0.000    0.000    0.000    0.000 blockstru.py:3(__init__)
     1772    0.002    0.000    0.002    0.000 blockstru.py:38(EUDGetLastBlockOfName)
       12    0.000    0.000    0.000    0.000 blockstru.py:44(EUDPopBlock)
        9    0.000    0.000    0.000    0.000 blockstru.py:7(empty)
        1    0.000    0.000    0.000    0.000 bytedump.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bytedump.py:4(Db)
        8    0.000    0.000    0.000    0.000 bytedump.py:6(__init__)
        1    0.000    0.000    0.000    0.000 byterw.py:1(<module>)
        1    0.000    0.000    0.000    0.000 byterw.py:109(EUDByteWriter)
        2    0.000    0.000    0.000    0.000 byterw.py:111(__init__)
        2    0.000    0.000    0.000    0.000 byterw.py:118(<listcomp>)
        1    0.000    0.000    0.000    0.000 byterw.py:12(EUDByteReader)
        2    0.000    0.000    0.204    0.102 byterw.py:120(seekepd)
        2    0.000    0.000    0.295    0.147 byterw.py:135(seekoffset)
        2    0.000    0.000    0.000    0.000 byterw.py:14(__init__)
        2    0.000    0.000    0.642    0.321 byterw.py:147(writebyte)
        2    0.000    0.000    0.029    0.015 byterw.py:148(<listcomp>)
        4    0.002    0.000    0.514    0.128 byterw.py:197(flushdword)
        2    0.000    0.000    0.204    0.102 byterw.py:25(seekepd)
        2    0.000    0.000    0.411    0.206 byterw.py:44(seekoffset)
        2    0.000    0.000    0.401    0.201 byterw.py:57(readbyte)
        2    0.000    0.000    0.029    0.015 byterw.py:58(<listcomp>)
        1    0.000    0.000    0.000    0.000 chktok.py:25(CHK)
        1    0.000    0.000    0.000    0.000 chktok.py:3(<module>)
       25    0.000    0.000    0.000    0.000 codecs.py:251(__init__)
       25    0.000    0.000    0.000    0.000 codecs.py:300(__init__)
       54    0.000    0.000    0.000    0.000 codecs.py:310(decode)
        1    0.000    0.000    0.000    0.000 codecs.py:86(__new__)
        1    0.000    0.000    0.000    0.000 condition.py:1(<module>)
      336    0.001    0.000    0.002    0.000 condition.py:26(__init__)
        1    0.000    0.000    0.000    0.000 condition.py:4(Condition)
      336    0.000    0.000    0.000    0.000 condition.py:47(SetParentTrigger)
        2    0.000    0.000    0.000    0.000 condition.py:62(WritePayload)
        1    0.000    0.000    0.016    0.016 constenc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 constenc.py:12(_Unique)
        1    0.000    0.000    0.000    0.000 constenc.py:16(_KillsSpecialized)
     4522    0.003    0.000    0.005    0.000 constenc.py:184(_EncodeConst)
      336    0.000    0.000    0.001    0.000 constenc.py:198(EncodeComparison)
     1925    0.001    0.000    0.003    0.000 constenc.py:205(EncodeModifier)
     2261    0.002    0.000    0.005    0.000 constenc.py:219(EncodePlayer)
        1    0.000    0.000    0.004    0.004 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:159(Instruction)
